DayOfWeek,avg_units_sold,avg_net_sales,avg_orders
Monday,1.2368908081431216,224.21486560456506,1267
Tuesday,1.197875166002656,218.41767944156706,1161
Wednesday,1.2141997593261131,216.5366735433213,1282
Thursday,1.1811512415349887,211.75411211625283,1367
Friday,1.1891408114558473,215.321040550716,1312
Saturday,1.172971114167813,213.8517125701513,2196
Sunday,1.165713028169014,212.87258027332746,3486
